time_in_cycles,setting_1,TRA,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,Ps30,phi,NRf,NRc,htBleed,Nf_dmd,PCNfR_dmd,W31,W32,failure
26,42.0054,100,445,549.8,1359.01,1125.52,3.91,5.71,138.47,2212.06,8329.1,41.84,130.31,2388.09,8087.1,330,2212,100,10.67,6.3556,0
27,25.0018,60,462.54,536.8,1258.35,1041.62,7.05,9.02,175.91,1915.46,8020,36.82,164.66,2028.39,7880.17,308,1915,84.93,14.34,8.5547,0
28,42.0023,100,445,549.75,1355.35,1123.07,3.91,5.71,139.33,2211.99,8326.96,41.95,130.98,2388,8085.84,330,2212,100,10.62,6.3142,0
29,0.0011,100,518.67,642.37,1590.06,1404.71,14.62,21.61,553.66,2388.09,9061.66,47.44,522.59,2388.07,8140.3,391,2388,100,39.04,23.3727,0
30,42.0009,100,445,549.59,1349.38,1125.87,3.91,5.72,138.46,2211.93,8328.24,42.23,130.7,2388.04,8083.57,329,2212,100,10.53,6.3671,0
31,20.0012,100,491.19,607.26,1475.22,1254.78,9.35,13.66,335.16,2324,8735.72,44.24,315.18,2388.12,8066.54,366,2324,100,24.48,14.7078,0
32,42.0068,100,445,549.96,1354,1133.31,3.91,5.72,139.56,2212.05,8325.41,42.06,130.21,2388.16,8097.03,331,2212,100,10.58,6.3633,0
33,20.004,100,491.19,607.09,1482.68,1256.34,9.35,13.65,334.48,2323.94,8736.98,44.23,315.57,2388.12,8064.49,364,2324,100,24.61,14.7845,0
34,0.0024,100,518.67,642.47,1596.96,1401.32,14.62,21.61,553.52,2388.06,9063.22,47.51,521.57,2388.04,8140.21,394,2388,100,38.88,23.3349,0
35,0.0029,100,518.67,642.21,1588.21,1410.57,14.62,21.61,552.89,2388.06,9063.05,47.56,521.62,2388.06,8150.31,395,2388,100,38.93,23.3773,0
36,41.9995,100,445,549.31,1352.23,1118.35,3.91,5.72,138.57,2212.07,8329.81,42,131.2,2388.13,8093.43,331,2212,100,10.67,6.4578,0
37,20,100,491.19,606.91,1487.11,1253.67,9.35,13.66,334.65,2323.96,8735.19,44.47,315.21,2388.18,8069.96,366,2324,100,24.66,14.673,0
38,20.0013,100,491.19,607.91,1480.77,1247.22,9.35,13.65,334.53,2324.03,8732.31,44.12,315.58,2388.17,8066.11,364,2324,100,24.54,14.7378,0
39,9.9992,100,489.05,604.66,1501.94,1305.22,10.52,15.49,394.53,2318.91,8790.33,45.43,371.86,2388.15,8136.84,368,2319,100,28.58,17.2025,0
40,35.0032,100,449.44,555.77,1361.42,1131.25,5.48,8,195.03,2223.07,8350.11,42.07,183.37,2388.13,8069.35,333,2223,100,15.01,8.8263,0
41,42.0074,100,445,549.55,1352.85,1123.89,3.91,5.71,138.72,2212.04,8326.49,42.06,130.43,2388.02,8091.07,332,2212,100,10.76,6.523,0
42,42.0067,100,445,549.01,1357.86,1127.57,3.91,5.71,138.58,2212.06,8329.96,41.98,130.49,2388.13,8098.81,332,2212,100,10.59,6.3099,0
43,35.0025,100,449.44,555.33,1369.64,1127.2,5.48,8,194.62,2223.01,8359.07,41.94,183.6,2388.16,8077.02,333,2223,100,14.68,8.9617,0
44,20.0006,100,491.19,607.22,1485.64,1255.3,9.35,13.65,334.88,2324.04,8731.08,44.32,315.05,2388.12,8072.34,364,2324,100,24.46,14.7283,0
45,20.0029,100,491.19,607.58,1482.57,1248.2,9.35,13.66,334.43,2324.01,8733.44,44.35,315.49,2388.14,8069.69,364,2324,100,24.51,14.6776,0
46,0.0023,100,518.67,642.67,1588.71,1406.63,14.62,21.61,554.41,2388.05,9057.55,47.38,522.03,2388.05,8144.81,393,2388,100,38.95,23.3586,0
47,35.0045,100,449.44,555.73,1367.33,1135.83,5.48,8,194.26,2223.08,8360.88,41.82,183.59,2388.2,8072.85,333,2223,100,14.9,9.0047,0
48,25.0029,60,462.54,536.7,1257.58,1045.96,7.05,9.03,175.73,1915.47,8014.54,36.68,164.34,2028.37,7884.02,308,1915,84.93,14.32,8.5201,0
49,0.0029,100,518.67,642.47,1584.53,1402.1,14.62,21.61,553.55,2388.06,9064.93,47.38,522.31,2388.05,8141.89,391,2388,100,38.86,23.382,0
50,0,100,518.67,642.48,1584.53,1399.74,14.62,21.61,554.59,2388.07,9064.93,47.46,521.9,2388.07,8148.96,390,2388,100,38.84,23.4306,0
51,0.0003,100,518.67,642.81,1587.59,1411.27,14.62,21.61,553.88,2388.06,9058.99,47.47,521.83,2388.05,8147.08,393,2388,100,38.78,23.3847,0
52,25.0035,60,462.54,536.81,1262.6,1050.61,7.05,9.03,175.92,1915.43,8005.94,36.66,164.91,2028.35,7879.44,306,1915,84.93,14.34,8.4604,0
53,9.9994,100,489.05,604.59,1501.01,1309.51,10.52,15.49,394.92,2318.94,8788.43,45.36,372.02,2388.08,8143.58,370,2319,100,28.53,17.1442,0
54,25.004,60,462.54,537.08,1265.08,1050.62,7.05,9.03,175.2,1915.55,8013.06,36.7,164.42,2028.4,7879.79,308,1915,84.93,14.45,8.5791,0
55,20.0007,100,491.19,607.7,1480.18,1248.5,9.35,13.66,334.73,2324.06,8738.24,44.07,315.15,2388.13,8071.62,365,2324,100,24.56,14.6503,0
56,10.0038,100,489.05,604.66,1501.86,1304.31,10.52,15.49,394.82,2318.9,8791.62,45.62,371.91,2388.12,8139.54,366,2319,100,28.61,17.166,0
57,20.0065,100,491.19,607.46,1484.37,1252.06,9.35,13.66,335.06,2323.97,8731.6,44.25,315.03,2388.14,8068.64,365,2324,100,24.4,14.7167,0
58,42.0046,100,445,550.39,1351.33,1120.9,3.91,5.71,139.04,2212.02,8329.85,42.02,130.29,2388.17,8092.05,331,2212,100,10.69,6.3918,0
59,0.0008,100,518.67,642.47,1587.38,1409.88,14.62,21.61,553.27,2388.09,9067.12,47.27,521.27,2388.14,8144.08,392,2388,100,38.75,23.4117,0
60,20.0072,100,491.19,607.89,1480.05,1257.12,9.35,13.66,334.39,2324.01,8726.14,44.38,314.9,2388.15,8067.05,365,2324,100,24.48,14.7642,0
61,41.9985,100,445,549.58,1351.64,1133.12,3.91,5.72,139.05,2212.03,8325.92,42.14,130.07,2388.14,8094.26,330,2212,100,10.59,6.3635,0
62,42.0041,100,445,549.19,1354.98,1131.92,3.91,5.72,138.81,2212.07,8329.9,42.01,130.51,2388.19,8093.75,330,2212,100,10.74,6.3006,0
63,35.005,100,449.44,555.48,1370.56,1128.59,5.48,8,195.39,2223.06,8359.65,41.84,182.41,2388.18,8076.66,334,2223,100,14.84,8.9547,0
64,25.0014,60,462.54,536.28,1265.29,1045.03,7.05,9.02,175.05,1915.48,8014.85,36.76,163.94,2028.34,7886.29,306,1915,84.93,14.41,8.5902,0
65,24.9984,60,462.54,536.85,1267.64,1047.94,7.05,9.03,175.82,1915.41,8020.24,36.51,164.19,2028.39,7882.45,306,1915,84.93,14.19,8.5448,0
66,42.0076,100,445,549.4,1356.45,1124.35,3.91,5.71,138.98,2212.01,8331.25,42.11,130.64,2388.12,8093.8,331,2212,100,10.72,6.4082,0
67,25.0034,60,462.54,536.3,1264.5,1044.17,7.05,9.03,175.51,1915.5,8017.53,36.61,164.6,2028.4,7876.09,306,1915,84.93,14.27,8.586,0
68,20.007,100,491.19,607.43,1488.33,1257.82,9.35,13.66,334.52,2324,8738.58,44.21,315.12,2388.15,8067.09,363,2324,100,24.5,14.6447,0
69,24.9993,60,462.54,537.19,1262.41,1046,7.05,9.03,175.8,1915.44,8018.86,36.84,164.77,2028.32,7877.86,307,1915,84.93,14.32,8.5893,0
70,25.0032,60,462.54,536.7,1256.86,1049.27,7.05,9.03,175.61,1915.45,8012.9,36.8,164.73,2028.34,7875.7,307,1915,84.93,14.44,8.5972,0
71,41.9993,100,445,549.44,1354.17,1122.39,3.91,5.71,138.99,2212.06,8334.64,41.81,131.31,2388.14,8091.04,332,2212,100,10.77,6.4066,0
72,19.9988,100,491.19,607.46,1484.74,1248.64,9.35,13.66,334.74,2324.05,8723.36,44.3,314.67,2388.13,8071.32,365,2324,100,24.49,14.6977,0
73,0.0018,100,518.67,642.24,1594.28,1403.14,14.62,21.61,554.48,2388.1,9069.24,47.46,521.9,2388.08,8148.27,392,2388,100,38.82,23.4012,0
74,20.0053,100,491.19,607.31,1488.8,1250.84,9.35,13.66,334.6,2324.05,8733.09,44.17,314.71,2388.15,8072.38,364,2324,100,24.47,14.6929,0
75,35.0013,100,449.44,555.15,1362.71,1130.65,5.48,8,193.9,2223.04,8359.71,41.95,183.75,2388.17,8075.19,333,2223,100,14.87,8.7785,0
76,20.0002,100,491.19,607.12,1483.17,1248.87,9.35,13.66,334.83,2323.98,8728.21,44.41,315.24,2388.08,8068.52,365,2324,100,24.45,14.7145,0
77,10.0047,100,489.05,604.25,1505.64,1308.32,10.52,15.49,394.64,2318.89,8789.94,45.23,371.44,2388.08,8140.53,369,2319,100,28.73,17.0905,0
78,20.0034,100,491.19,607.32,1491.19,1253.45,9.35,13.66,334.76,2324.06,8735.14,44.34,315.42,2388.16,8069.05,364,2324,100,24.46,14.6636,0
79,0.0021,100,518.67,642.6,1592,1403.47,14.62,21.61,553.67,2387.99,9072.89,47.42,521.95,2388.07,8140.45,393,2388,100,38.92,23.2665,0
80,0.0003,100,518.67,642.98,1586.92,1409.57,14.62,21.61,553.68,2388.05,9074.03,47.37,521.49,2388.07,8147.11,393,2388,100,38.99,23.3614,0
81,42.0051,100,445,549.92,1355.37,1126.74,3.91,5.72,139.01,2212.05,8334.48,42.03,130.51,2388.18,8096.43,332,2212,100,10.67,6.4998,0
82,10.0046,100,489.05,605.04,1498.41,1311.46,10.52,15.49,394.68,2318.93,8786.21,45.52,371.29,2388.1,8138.33,369,2319,100,28.5,17.1249,0
83,35.0035,100,449.44,555.78,1362.95,1127.15,5.48,8,194.21,2223.14,8358.63,42.01,182.91,2388.16,8074.52,335,2223,100,14.88,8.9239,0
84,25.0067,60,462.54,536.64,1255.69,1050.91,7.05,9.03,175.55,1915.46,8022.46,36.83,164.31,2028.3,7883.4,305,1915,84.93,14.28,8.6145,0
85,20.0022,100,491.19,607.54,1484.34,1253.49,9.35,13.66,334.71,2324.03,8733.25,44.3,315.42,2388.17,8071.21,365,2324,100,24.5,14.721,0
86,0.0004,100,518.67,642.24,1591.82,1406.03,14.62,21.61,553.18,2388.12,9062.31,47.36,521.89,2388.06,8145.8,392,2388,100,38.91,23.3869,0
87,42.0024,100,445,549.31,1354.22,1123.87,3.91,5.72,139.04,2212.01,8335.97,42.14,131.12,2388.12,8088.44,332,2212,100,10.61,6.3421,0
88,24.9994,60,462.54,537.05,1265.9,1054.83,7.05,9.03,176.96,1915.47,8014.51,36.75,164.65,2028.38,7884.11,307,1915,84.93,14.17,8.5963,0
89,24.9997,60,462.54,536.21,1263.14,1054.32,7.05,9.03,175.59,1915.54,8022.94,36.75,164.53,2028.42,7881.17,308,1915,84.93,14.32,8.4857,0
90,42.0041,100,445,549.84,1352.45,1123.05,3.91,5.71,138.94,2212.08,8336.51,42,130.5,2388.16,8090.88,332,2212,100,10.69,6.3996,0
91,25.0017,60,462.54,536.46,1262.32,1054.64,7.05,9.03,174.75,1915.53,8014.07,36.66,164.8,2028.45,7876.48,307,1915,84.93,14.14,8.4671,0
92,42.0006,100,445,549.39,1358.44,1131.01,3.91,5.72,138.88,2212.05,8334.57,42.02,130.5,2388.18,8093.63,331,2212,100,10.57,6.3396,0
93,10.0018,100,489.05,604.74,1496.94,1315.39,10.52,15.5,394.52,2318.97,8787.12,45.37,371.58,2388.15,8138.13,369,2319,100,28.47,17.0003,0
94,42.0001,100,445,549.68,1349.65,1123.95,3.91,5.72,138.61,2212.06,8324.13,42.05,130.37,2388.12,8093.1,331,2212,100,10.5,6.2922,0
95,10.0019,100,489.05,604.72,1504.25,1307.41,10.52,15.49,394.61,2318.93,8786.98,45.41,371.05,2388.14,8140.15,370,2319,100,28.67,17.1521,0
96,25.0051,60,462.54,536.56,1266.69,1049.63,7.05,9.03,175.06,1915.45,8021.66,36.75,164.79,2028.4,7883.94,307,1915,84.93,14.32,8.4915,0
97,25.0021,60,462.54,536.8,1263.72,1045.04,7.05,9.03,174.94,1915.46,8013.46,36.75,164.9,2028.39,7880.55,307,1915,84.93,14.37,8.593,0
98,0.0021,100,518.67,642.33,1590.35,1410.98,14.62,21.61,553.2,2388.06,9067.11,47.41,521.62,2388.07,8146.07,392,2388,100,38.99,23.3449,0
99,20.0066,100,491.19,607.34,1483.53,1251.91,9.35,13.66,334.93,2324,8732.86,44.33,315.22,2388.16,8071.53,365,2324,100,24.59,14.7073,0
100,35.0019,100,449.44,555.95,1361.18,1128.03,5.48,8,194.89,2223.1,8359.47,41.9,182.83,2388.25,8075.61,336,2223,100,14.87,8.9435,0
101,9.9989,100,489.05,604.41,1499.35,1306.82,10.52,15.49,394.73,2318.92,8787.19,45.33,371.83,2388.13,8139.08,370,2319,100,28.42,17.132,0
102,0.0013,100,518.67,642.42,1594.1,1400.69,14.62,21.61,553.6,2388.09,9071.05,47.67,521.67,2388.05,8146.94,392,2388,100,38.84,23.3365,0
103,42.0054,100,445,550.01,1354.64,1128.8,3.91,5.71,138.61,2212.07,8326.87,41.91,130.66,2388.15,8093.97,332,2212,100,10.78,6.3501,0
104,0.0001,100,518.67,642.18,1594.8,1409.61,14.62,21.61,554.5,2388.03,9071.98,47.4,522.22,2388.08,8150.59,392,2388,100,38.9,23.4028,0
105,34.9997,100,449.44,555.77,1360.13,1136.41,5.48,8,194.98,2223.14,8357.17,41.86,182.76,2388.22,8075.87,336,2223,100,14.95,8.7949,0
106,19.999,100,491.19,607.12,1491.8,1251.87,9.35,13.65,335.18,2324.03,8727.25,44.25,314.98,2388.17,8067.45,364,2324,100,24.32,14.7463,0
107,0.0019,100,518.67,642.97,1590.45,1401.75,14.62,21.61,553.89,2388.08,9067,47.44,521.43,2388.06,8151.95,393,2388,100,38.9,23.3643,0
108,9.9996,100,489.05,604.63,1494.94,1309.52,10.52,15.49,395.23,2318.92,8791.08,45.42,371.43,2388.15,8135.29,369,2319,100,28.56,17.0807,0
109,35.0041,100,449.44,555.96,1366.05,1128.15,5.48,8,194.63,2223.01,8356.03,41.81,183.41,2388.16,8073.45,335,2223,100,14.87,8.9615,0
110,25.0035,60,462.54,536.55,1269.66,1047.89,7.05,9.03,175.42,1915.43,8017.36,36.84,164.5,2028.29,7877.84,306,1915,84.93,14.37,8.5446,0
111,42.0017,100,445,549.91,1354.89,1124.28,3.91,5.72,138.6,2212.09,8333.55,42.07,130.9,2388.16,8092.72,331,2212,100,10.6,6.383,0
112,10.0076,100,489.05,604.96,1504.62,1309.77,10.52,15.49,394.01,2318.9,8789,45.6,371.53,2388.16,8139.26,369,2319,100,28.47,17.176,0
113,10.0041,100,489.05,604.84,1507.21,1306.2,10.52,15.49,394.25,2318.91,8786.75,45.38,370.92,2388.15,8140.43,371,2319,100,28.49,17.1942,0
114,25.0049,60,462.54,536.89,1253.86,1054.27,7.05,9.02,175.59,1915.44,8020.7,36.76,164.87,2028.36,7880.23,305,1915,84.93,14.33,8.4976,0
115,41.9995,100,445,550.21,1350.64,1122.71,3.91,5.71,139.05,2212.11,8330.73,42.13,130.75,2388.2,8089.71,330,2212,100,10.5,6.4345,0
116,35.004,100,449.44,555.47,1364.06,1132.79,5.48,8,195.23,2223.07,8360.96,41.95,183.07,2388.24,8074.82,336,2223,100,14.87,9.0061,0
117,42.0043,100,445,549.55,1349.94,1126.34,3.91,5.72,138.5,2211.98,8330.5,42.11,130.59,2388.09,8091.57,331,2212,100,10.81,6.3771,0
118,24.9982,60,462.54,536.88,1261.06,1056,7.05,9.03,175.81,1915.42,8020.82,36.78,165.01,2028.33,7877.92,308,1915,84.93,14.39,8.5364,0
119,24.9998,60,462.54,536.83,1267.79,1054.26,7.05,9.03,175.69,1915.42,8016.86,36.92,164.21,2028.31,7875.75,308,1915,84.93,14.16,8.5542,0
120,25.0049,60,462.54,537.01,1267.73,1055.43,7.05,9.03,175.39,1915.49,8018.21,36.94,164.38,2028.36,7883.6,308,1915,84.93,14.32,8.6073,0
121,25.0075,60,462.54,536.47,1262.47,1049.35,7.05,9.02,175.22,1915.47,8014.35,36.86,164.49,2028.37,7881.29,308,1915,84.93,14.34,8.6515,0
122,10.0025,100,489.05,604.93,1504.94,1315.26,10.52,15.49,393.93,2318.93,8786.83,45.7,371.51,2388.15,8141,369,2319,100,28.49,17.1947,0
123,42.002,100,445,549.54,1355.73,1128.01,3.91,5.72,138.39,2212.12,8333.34,41.96,130.64,2388.15,8094.72,330,2212,100,10.51,6.4257,0
124,10.0023,100,489.05,604.42,1494.52,1315.18,10.52,15.49,393.85,2319.01,8789.72,45.36,371.27,2388.14,8138.28,370,2319,100,28.51,17.2233,0
125,19.9999,100,491.19,607.4,1483.66,1249.17,9.35,13.65,334.61,2324.02,8734.23,44.33,314.35,2388.19,8076.16,365,2324,100,24.44,14.6708,0
126,25.0033,60,462.54,536.91,1259.05,1053.96,7.05,9.03,176.12,1915.54,8023.34,36.84,164.49,2028.45,7888.01,308,1915,84.93,14.17,8.4942,0
127,20.0009,100,491.19,607.25,1480.13,1250.59,9.35,13.66,335.1,2324.04,8734.83,44.42,315.36,2388.2,8066.89,363,2324,100,24.5,14.6891,0
128,19.9984,100,491.19,607.82,1490.56,1249.77,9.35,13.66,335.17,2324.04,8730.21,44.38,314.83,2388.14,8070.19,365,2324,100,24.3,14.6193,0
129,42.0075,100,445,550.1,1362.14,1139.66,3.91,5.72,138.5,2212.11,8330.35,42.11,130.51,2388.18,8097.8,332,2212,100,10.66,6.3347,0
130,42.0043,100,445,549.79,1357.77,1124.62,3.91,5.72,138.54,2212.05,8342.9,42.12,129.8,2388.12,8095.65,330,2212,100,10.42,6.235,0
131,24.9991,60,462.54,536.79,1272.68,1052.99,7.05,9.03,174.9,1915.51,8025.93,36.82,164.36,2028.35,7878.17,306,1915,84.93,14.37,8.514,0
132,20.0049,100,491.19,607.11,1487.01,1250.04,9.35,13.66,334.87,2324.07,8733.63,44.37,315.27,2388.19,8067.83,365,2324,100,24.49,14.6233,0
133,35.0014,100,449.44,555.78,1368.48,1131.22,5.48,8,194.59,2223.12,8362.37,41.89,183.01,2388.24,8078.16,334,2223,100,14.89,8.8704,0
134,42.0039,100,445,549.56,1360.87,1133.74,3.91,5.71,138.15,2212.08,8338.98,42.09,130.15,2388.2,8096.12,331,2212,100,10.55,6.3153,0
135,20.0007,100,491.19,607.66,1479.61,1244.8,9.35,13.66,334.76,2324.1,8737.32,44.44,315.58,2388.18,8070.76,364,2324,100,24.47,14.7065,0
136,41.9999,100,445,549.69,1354.75,1129.02,3.91,5.72,138.57,2212.02,8336.37,42.05,130.22,2388.07,8087.54,332,2212,100,10.58,6.5044,0
137,35.0007,100,449.44,555.41,1366.19,1132.71,5.48,8,194.12,2223.09,8359.11,41.97,182.69,2388.21,8076.84,334,2223,100,14.78,8.9183,0
138,34.9982,100,449.44,556.14,1370.54,1132.24,5.48,8,194.21,2223.05,8357.81,41.87,183.48,2388.17,8078.02,334,2223,100,14.88,8.8869,0
139,0.0009,100,518.67,642.69,1587.19,1408.64,14.62,21.61,553.29,2388.08,9069.38,47.43,521.73,2388.05,8144.07,392,2388,100,38.9,23.166,0
140,19.9989,100,491.19,607.19,1489.1,1248.12,9.35,13.66,334.39,2324.02,8727.71,44.62,315.25,2388.16,8072.56,365,2324,100,24.61,14.7251,0
141,42.0059,100,445,549.73,1354.74,1126.26,3.91,5.71,139.06,2212.08,8334.85,42.15,130.43,2388.14,8097.31,331,2212,100,10.37,6.3645,0
142,35.006,100,449.44,555.1,1366.02,1129,5.48,8,194.14,2223.12,8362.8,42.19,183.27,2388.23,8073.3,334,2223,100,14.69,8.9454,0
143,20.0076,100,491.19,607.59,1488.39,1257.01,9.35,13.66,334.48,2324.04,8733.72,44.25,315.13,2388.14,8072.01,365,2324,100,24.34,14.6158,0
144,0.0023,100,518.67,642.85,1586.72,1416.83,14.62,21.61,553.32,2388.06,9077.51,47.7,521.16,2388.08,8145.79,393,2388,100,38.73,23.3316,0
145,35.0006,100,449.44,555.94,1367.98,1127.45,5.48,8,195.3,2223.11,8360.65,42.01,182.69,2388.23,8078.04,334,2223,100,14.8,9.021,0
146,35.0027,100,449.44,555.81,1371.41,1133.22,5.48,8,194.38,2223.17,8359.18,41.9,183.03,2388.26,8082.97,336,2223,100,14.75,8.8966,0
147,42.0066,100,445,549.84,1354.79,1136,3.91,5.72,138.61,2211.99,8327.57,42.21,130.13,2388.04,8091.08,331,2212,100,10.48,6.3186,0
148,25.0022,60,462.54,536.9,1259.58,1052.82,7.05,9.03,175.27,1915.47,8023.64,36.83,165.07,2028.38,7882.92,307,1915,84.93,14.41,8.5818,0
149,25.0026,60,462.54,537.23,1265.72,1048.88,7.05,9.03,175.98,1915.49,8024.61,36.78,164.34,2028.41,7882.35,307,1915,84.93,14.26,8.6563,0
150,35.0074,100,449.44,556.34,1364.57,1129.43,5.48,8,194.05,2223.13,8366.85,41.92,182.55,2388.26,8074.98,335,2223,100,14.73,8.9499,0
151,19.9989,100,491.19,607.07,1481.72,1253.67,9.35,13.66,334.09,2324.03,8740.76,44.41,315.2,2388.16,8073.31,365,2324,100,24.51,14.768,0
152,20.0035,100,491.19,607.4,1478.43,1250.11,9.35,13.66,334.73,2324.07,8738.68,44.4,314.67,2388.21,8079.49,364,2324,100,24.35,14.7073,0
153,42.006,100,445,549.4,1358.4,1135.55,3.91,5.72,138.46,2212.05,8340,42.12,130.18,2388.18,8096.11,330,2212,100,10.67,6.3165,0
154,35.0002,100,449.44,556.2,1365.55,1138.5,5.48,8,193.94,2223.13,8360.99,41.92,182.82,2388.19,8077.03,335,2223,100,14.75,8.7583,0
155,25.0062,60,462.54,536.37,1259.54,1056.03,7.05,9.03,175.32,1915.53,8022.27,36.75,164.94,2028.42,7885.86,308,1915,84.93,14.36,8.6687,0
156,42.0036,100,445,549.16,1359.84,1125.06,3.91,5.72,138.31,2212.07,8333.11,42.26,130.67,2388.18,8092.83,332,2212,100,10.4,6.3102,0
157,42.0024,100,445,550.16,1357.85,1133.74,3.91,5.71,138.7,2212.12,8346.57,42.23,130.59,2388.23,8096.11,330,2212,100,10.72,6.3336,0
158,20.0079,100,491.19,607.66,1485.92,1251.31,9.35,13.66,334.61,2324.04,8737.36,44.43,314.57,2388.23,8072.08,364,2324,100,24.11,14.6706,0
159,9.9992,100,489.05,605.4,1502.1,1307.28,10.52,15.49,395.06,2318.98,8790.79,45.6,371.42,2388.16,8142.68,370,2319,100,28.34,17.1111,0
160,42.0058,100,445,549.96,1358.08,1132.38,3.91,5.72,138.24,2212.1,8334.01,42.2,130.67,2388.21,8100.7,331,2212,100,10.43,6.2858,0
161,0.0024,100,518.67,642.64,1589.65,1412.26,14.62,21.61,553.32,2388.09,9077.16,47.72,521.3,2388.04,8149.32,395,2388,100,38.86,23.2891,0
162,19.9998,100,491.19,607.73,1484.28,1255.25,9.35,13.66,334.93,2324.08,8735.97,44.54,314.78,2388.18,8076.15,365,2324,100,24.53,14.6512,0
163,10.0036,100,489.05,604.61,1502.19,1307.71,10.52,15.49,394.41,2318.97,8787.97,45.4,371.43,2388.16,8136.47,371,2319,100,28.46,17.1513,0
164,20.0051,100,491.19,607.47,1484.88,1256.95,9.35,13.66,334.22,2324.05,8736.06,44.5,315.39,2388.22,8068.53,365,2324,100,24.62,14.7125,0
